"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"78.83kbps","3.59Mbps",78835,"May 1, 2025, 12:01:00 AM",3590080
"21bps","49bps",21,"May 1, 2025, 12:48:56 AM",49
"16bps","38bps",16,"May 1, 2025, 1:36:52 AM",38
"15bps","38bps",15,"May 1, 2025, 2:24:48 AM",38
"17bps","47bps",17,"May 1, 2025, 3:12:44 AM",47
"16bps","40bps",16,"May 1, 2025, 4:00:40 AM",40
"14bps","44bps",14,"May 1, 2025, 4:48:36 AM",44
"9bps","38bps",9,"May 1, 2025, 5:36:32 AM",38
"10bps","39bps",10,"May 1, 2025, 6:24:28 AM",39
"10bps","44bps",10,"May 1, 2025, 7:12:24 AM",44
"15bps","38bps",15,"May 1, 2025, 8:00:20 AM",38
"15bps","38bps",15,"May 1, 2025, 8:48:16 AM",38
"13bps","44bps",13,"May 1, 2025, 9:36:12 AM",44
"9bps","38bps",9,"May 1, 2025, 10:24:08 AM",38
"42kbps","1.99Mbps",42004,"May 1, 2025, 11:12:04 AM",1990358
"230.67kbps","11.16Mbps",230666,"May 1, 2025, 12:00:00 PM",11156011
"719bps","29.8kbps",719,"May 1, 2025, 12:47:56 PM",29795
"11bps","44bps",11,"May 1, 2025, 1:35:52 PM",44
"16bps","176bps",16,"May 1, 2025, 2:23:48 PM",176
"170bps","340.46kbps",170,"May 1, 2025, 3:11:44 PM",340462
"273bps","592.7kbps",273,"May 1, 2025, 3:59:40 PM",592704
"375bps","264.44kbps",375,"May 1, 2025, 4:47:36 PM",264441
"516bps","2.14Mbps",516,"May 1, 2025, 5:35:32 PM",2142449
"16bps","51bps",16,"May 1, 2025, 6:23:28 PM",51
"144bps","613.61kbps",144,"May 1, 2025, 7:11:24 PM",613610
"167bps","1.51Mbps",167,"May 1, 2025, 7:59:20 PM",1514539
"751bps","8.32Mbps",751,"May 1, 2025, 8:47:16 PM",8316305
"720bps","5.9Mbps",720,"May 1, 2025, 9:35:12 PM",5903408
"1.74kbps","5.05Mbps",1737,"May 1, 2025, 10:23:08 PM",5050457
"69bps","337.94kbps",69,"May 1, 2025, 11:11:04 PM",337944
"1.01kbps","6.56Mbps",1009,"May 1, 2025, 11:59:00 PM",6561563
