"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"15bps","42bps",15,"Apr 30, 2025, 12:01:00 AM",42
"14bps","39bps",14,"Apr 30, 2025, 12:48:56 AM",39
"11bps","44bps",11,"Apr 30, 2025, 1:36:52 AM",44
"12bps","38bps",12,"Apr 30, 2025, 2:24:48 AM",38
"10bps","38bps",10,"Apr 30, 2025, 3:12:44 AM",38
"14bps","46bps",14,"Apr 30, 2025, 4:00:40 AM",46
"14bps","40bps",14,"Apr 30, 2025, 4:48:36 AM",40
"10bps","43bps",10,"Apr 30, 2025, 5:36:32 AM",43
"10bps","37bps",10,"Apr 30, 2025, 6:24:28 AM",37
"14bps","40bps",14,"Apr 30, 2025, 7:12:24 AM",40
"10bps","43bps",10,"Apr 30, 2025, 8:00:20 AM",43
"11bps","39bps",11,"Apr 30, 2025, 8:48:16 AM",39
"16bps","42bps",16,"Apr 30, 2025, 9:36:12 AM",42
"353.94kbps","8.51kbps",353943,"Apr 30, 2025, 10:24:08 AM",8506
"4.18Mbps","2.44Mbps",4177218,"Apr 30, 2025, 11:12:04 AM",2436131
"11.85Mbps","286.06kbps",11848640,"Apr 30, 2025, 12:00:00 PM",286060
"5.37Mbps","161.63kbps",5368425,"Apr 30, 2025, 12:47:56 PM",161628
"5.47Mbps","161.94kbps",5466533,"Apr 30, 2025, 1:35:52 PM",161942
"5.52Mbps","163.24kbps",5520589,"Apr 30, 2025, 2:23:48 PM",163243
"3.6Mbps","106.31kbps",3603218,"Apr 30, 2025, 3:11:44 PM",106313
"5.46Mbps","126.36kbps",5464594,"Apr 30, 2025, 3:59:40 PM",126355
"12.85Mbps","266.27kbps",12854636,"Apr 30, 2025, 4:47:36 PM",266270
"12.9Mbps","259.29kbps",12902339,"Apr 30, 2025, 5:35:32 PM",259293
"16.67Mbps","335.68kbps",16670606,"Apr 30, 2025, 6:23:28 PM",335679
"19.46Mbps","426.56kbps",19460246,"Apr 30, 2025, 7:11:24 PM",426555
"8.79Mbps","199.17kbps",8785910,"Apr 30, 2025, 7:59:20 PM",199174
"14.1Mbps","323.58kbps",14096600,"Apr 30, 2025, 8:47:16 PM",323583
"16.44Mbps","385.24kbps",16436158,"Apr 30, 2025, 9:35:12 PM",385240
"19.66Mbps","481.46kbps",19660704,"Apr 30, 2025, 10:23:08 PM",481462
"16.57Mbps","385.92kbps",16572394,"Apr 30, 2025, 11:11:04 PM",385916
"10.39Mbps","259.11kbps",10393661,"Apr 30, 2025, 11:59:00 PM",259110
